timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/07/03 18:10:38.808, 0, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:38.813, 1, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:38.818, 2, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:38.821, 3, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:38.826, 4, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:38.831, 5, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:38.837, 6, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:38.842, 7, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:48.847, 0, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:48.913, 1, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:48.914, 2, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:48.914, 3, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:48.914, 4, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:48.915, 5, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:48.915, 6, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:48.916, 7, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:58.917, 0, 7723 MiB, 81920 MiB, 60 %
2026/07/03 18:10:58.917, 1, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:58.918, 2, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:58.918, 3, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:58.918, 4, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:58.919, 5, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:58.919, 6, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:10:58.919, 7, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:08.920, 0, 7723 MiB, 81920 MiB, 0 %
2026/07/03 18:11:08.920, 1, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:08.921, 2, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:08.921, 3, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:08.921, 4, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:08.921, 5, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:08.922, 6, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:08.922, 7, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:18.923, 0, 7723 MiB, 81920 MiB, 0 %
2026/07/03 18:11:18.923, 1, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:18.923, 2, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:18.924, 3, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:18.924, 4, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:18.924, 5, 0 MiB, 81920 MiB, 0 %
2026/07/03 18:11:18.924, 6, 0 MiB, 81920 MiB, 0 %
